origin,destination,time,distance
Blockhouse Bay/New Windsor,Te Atatu,7235.0,10.237
Blockhouse Bay/New Windsor,Te Atatu Peninsula,8296.0,11.731
Blockhouse Bay/New Windsor,Three Kings,4391.0,6.217
Blockhouse Bay/New Windsor,Titirangi,4968.0,7.038
Blockhouse Bay/New Windsor,Torbay,21389.0,31.828
Blockhouse Bay/New Windsor,Waiheke Island,22014.0,44.852
Blockhouse Bay/New Windsor,Wairau Park/Glenfield North,14694.0,22.348
Blockhouse Bay/New Windsor,Waiuku,,
Blockhouse Bay/New Windsor,Waterview/Avondale Heights,2545.0,3.598
Blockhouse Bay/New Windsor,Wattle Downs/Conifer Grove,20895.0,29.565
Blockhouse Bay/New Windsor,Wellsford/Warkworth/Helensville,,
Blockhouse Bay/New Windsor,West Harbour,12596.0,17.822
Blockhouse Bay/New Windsor,Western Beaches/Rural,12378.0,17.524
Blockhouse Bay/New Windsor,Western Springs/Morningside,4581.0,6.478
Blockhouse Bay/New Windsor,Westmere/Surrey Crescent,5655.0,7.988
Blockhouse Bay/New Windsor,Weymouth,18973.0,26.849
Botony Downs,Albany,26359.0,38.866
Botony Downs,Avondale,17638.0,24.972
Botony Downs,Balmoral,12952.0,18.342
Botony Downs,Beachhaven/Birkdale,20176.0,30.116
Botony Downs,Blockhouse Bay/New Windsor,17151.0,24.276
Botony Downs,Botony Downs,0.0,0.0
Botony Downs,Browns Bay,25690.0,37.919
Botony Downs,Bucklands Beach,4132.0,5.849
Botony Downs,Central East,13731.0,19.433
Botony Downs,Central West,13968.0,19.77
Botony Downs,Chatswood/Birkenhead/Northcote Point,17673.0,26.572
Botony Downs,Dannemora,2757.0,3.897
Botony Downs,Devonport,22846.0,33.892
Botony Downs,East Coast Bays,21119.0,31.448
Botony Downs,Eden Terrace,13356.0,18.913
Botony Downs,Ellerslie,8628.0,12.221
Botony Downs,Epsom,11524.0,16.325
Botony Downs,Glen Eden,21196.0,29.995
Botony Downs,Glen Innes/Pt England/Wai O Taiki,7925.0,11.222
Botony Downs,Glendene,20540.0,29.068
Botony Downs,Glendhu/Glenfield,20466.0,30.528
Botony Downs,Greenhithe/Unsworth Heights,23056.0,34.191
Botony Downs,Grey Lynn/Arch Hill,14503.0,20.528
Botony Downs,Gulf Harbour,,
Botony Downs,Half Moon Bay/Farm Cove,2924.0,4.142
Botony Downs,Henderson,22866.0,32.357
Botony Downs,Herne Bay/St Marys,15373.0,21.763
Botony Downs,Highland Park,2150.0,3.04
