origin,destination,time,distance
Beachhaven/Birkdale,Takapuna,1631.0,11.029
Beachhaven/Birkdale,Te Atatu,3833.0,24.255
Beachhaven/Birkdale,Te Atatu Peninsula,4264.0,26.962
Beachhaven/Birkdale,Three Kings,5532.0,35.391
Beachhaven/Birkdale,Titirangi,5484.0,34.476
Beachhaven/Birkdale,Torbay,2386.0,15.802
Beachhaven/Birkdale,Waiheke Island,10989.0,73.904
Beachhaven/Birkdale,Wairau Park/Glenfield North,872.0,5.439
Beachhaven/Birkdale,Waiuku,,
Beachhaven/Birkdale,Waterview/Avondale Heights,4947.0,31.356
Beachhaven/Birkdale,Wattle Downs/Conifer Grove,9196.0,60.514
Beachhaven/Birkdale,Wellsford/Warkworth/Helensville,,
Beachhaven/Birkdale,West Harbour,2434.0,15.243
Beachhaven/Birkdale,Western Beaches/Rural,6489.0,37.472
Beachhaven/Birkdale,Western Springs/Morningside,5190.0,33.097
Beachhaven/Birkdale,Westmere/Surrey Crescent,5214.0,33.254
Beachhaven/Birkdale,Weymouth,8896.0,57.863
Blockhouse Bay/New Windsor,Albany,5629.0,36.437
Blockhouse Bay/New Windsor,Avondale,573.0,3.971
Blockhouse Bay/New Windsor,Balmoral,1117.0,7.136
Blockhouse Bay/New Windsor,Beachhaven/Birkdale,5628.0,36.239
Blockhouse Bay/New Windsor,Blockhouse Bay/New Windsor,0.0,0.0
Blockhouse Bay/New Windsor,Botony Downs,3853.0,26.305
Blockhouse Bay/New Windsor,Browns Bay,5956.0,38.578
Blockhouse Bay/New Windsor,Bucklands Beach,3785.0,25.877
Blockhouse Bay/New Windsor,Central East,1942.0,11.944
Blockhouse Bay/New Windsor,Central West,1871.0,11.692
Blockhouse Bay/New Windsor,Chatswood/Birkenhead/Northcote Point,5747.0,36.842
Blockhouse Bay/New Windsor,Dannemora,3992.0,26.18
Blockhouse Bay/New Windsor,Devonport,6454.0,42.475
Blockhouse Bay/New Windsor,East Coast Bays,5747.0,36.646
Blockhouse Bay/New Windsor,Eden Terrace,1361.0,8.864
Blockhouse Bay/New Windsor,Ellerslie,2160.0,14.153
Blockhouse Bay/New Windsor,Epsom,1559.0,9.941
Blockhouse Bay/New Windsor,Glen Eden,1254.0,8.217
Blockhouse Bay/New Windsor,Glen Innes/Pt England/Wai O Taiki,2931.0,19.825
Blockhouse Bay/New Windsor,Glendene,1152.0,7.642
Blockhouse Bay/New Windsor,Glendhu/Glenfield,5225.0,33.679
