orig_name,dest_name,card_fare
Blockhouse Bay/New Windsor,Papatoetoe South,4.85
Blockhouse Bay/New Windsor,Papatoetoe West,4.85
Blockhouse Bay/New Windsor,Parnell,3.15
Blockhouse Bay/New Windsor,Penrose/Mt Wellington South,3.15
Blockhouse Bay/New Windsor,Ponsonby/Freemans Bay,3.15
Blockhouse Bay/New Windsor,Pt Chevalier,1.85
Blockhouse Bay/New Windsor,Pukekohe/Tuakau,6.1
Blockhouse Bay/New Windsor,Ranui,3.15
Blockhouse Bay/New Windsor,Remuera,1.85
Blockhouse Bay/New Windsor,Remuera South/Meadowbank South,1.85
Blockhouse Bay/New Windsor,Rewiti/Kumeu/Riverhead,
Blockhouse Bay/New Windsor,Rothesay/Murrays/Mairangi Bays,6.1
Blockhouse Bay/New Windsor,Royal Oak/One Tree Hill,1.85
Blockhouse Bay/New Windsor,Rural Franklin,
Blockhouse Bay/New Windsor,St Helliers/Glendowie,1.85
Blockhouse Bay/New Windsor,St Johns,1.85
Blockhouse Bay/New Windsor,St Lukes/Sandringham,1.85
Blockhouse Bay/New Windsor,Sunnynook/Westlake,4.85
Blockhouse Bay/New Windsor,Takanini/Ardmore,4.85
Blockhouse Bay/New Windsor,Takapuna,4.85
Blockhouse Bay/New Windsor,Te Atatu,3.15
Blockhouse Bay/New Windsor,Te Atatu Peninsula,3.15
Blockhouse Bay/New Windsor,Three Kings,1.85
Blockhouse Bay/New Windsor,Titirangi,3.15
Blockhouse Bay/New Windsor,Torbay,6.1
Blockhouse Bay/New Windsor,Waiheke Island,23.0
Blockhouse Bay/New Windsor,Wairau Park/Glenfield North,4.85
Blockhouse Bay/New Windsor,Waiuku,6.1
Blockhouse Bay/New Windsor,Waterview/Avondale Heights,1.85
Blockhouse Bay/New Windsor,Wattle Downs/Conifer Grove,4.85
Blockhouse Bay/New Windsor,Wellsford/Warkworth/Helensville,
Blockhouse Bay/New Windsor,West Harbour,3.15
Blockhouse Bay/New Windsor,Western Beaches/Rural,
Blockhouse Bay/New Windsor,Western Springs/Morningside,1.85
Blockhouse Bay/New Windsor,Westmere/Surrey Crescent,1.85
Blockhouse Bay/New Windsor,Weymouth,4.85
Botony Downs,Albany,7.5
Botony Downs,Avondale,4.85
Botony Downs,Balmoral,3.15
Botony Downs,Beachhaven/Birkdale,6.1
Botony Downs,Blockhouse Bay/New Windsor,4.85
Botony Downs,Browns Bay,7.5
Botony Downs,Bucklands Beach,1.85
Botony Downs,Central East,4.85
Botony Downs,Central West,4.85
Botony Downs,Chatswood/Birkenhead/Northcote Point,6.1
Botony Downs,Dannemora,1.85
Botony Downs,Devonport,6.1
Botony Downs,East Coast Bays,6.1
Botony Downs,Eden Terrace,4.85
Botony Downs,Ellerslie,3.15
Botony Downs,Epsom,3.15
Botony Downs,Glen Eden,6.1
Botony Downs,Glen Innes/Pt England/Wai O Taiki,3.15
Botony Downs,Glendene,6.1
Botony Downs,Glendhu/Glenfield,6.1
Botony Downs,Greenhithe/Unsworth Heights,7.5
Botony Downs,Grey Lynn/Arch Hill,4.85
Botony Downs,Gulf Harbour,8.8
Botony Downs,Half Moon Bay/Farm Cove,1.85
Botony Downs,Henderson,6.1
Botony Downs,Herne Bay/St Marys,4.85
Botony Downs,Highland Park,1.85
Botony Downs,Hillcrest/Northcote,6.1
Botony Downs,Hillsborough,3.15
Botony Downs,Howick,1.85
Botony Downs,Kelston,6.1
Botony Downs,Kingsland,4.85
Botony Downs,Kohimarama,3.15
Botony Downs,Lynfield,3.15
Botony Downs,Mangere,1.85
Botony Downs,Mangere Bridge/Airport,1.85
Botony Downs,Mangere East,1.85
Botony Downs,Manukau Central,1.85
Botony Downs,Manukau Heights and Manurewa Heights,3.15
Botony Downs,Manurewa North,3.15
Botony Downs,Maraetai/Clevedon,
Botony Downs,Massey/Royal Heights,6.1
Botony Downs,Meadowbank,3.15
Botony Downs,Mission Bay/Orakei,3.15
Botony Downs,Mt Albert/Owairaka,3.15
Botony Downs,Mt Eden,4.85
Botony Downs,Mt Roskill/Wesley,4.85
Botony Downs,Mt Wellington,3.15
Botony Downs,Mt Wellington North,3.15
Botony Downs,New Lynn,4.85
Botony Downs,Newmarket,3.15
Botony Downs,Newton/Grafton,4.85
Botony Downs,North Harbour/Pine Hill,7.5
Botony Downs,Onehunga/Oranga/Te Papapa,3.15
Botony Downs,Orewa/Whangaparaoa,
Botony Downs,Otahuhu,1.85
Botony Downs,Otara,1.85
Botony Downs,Pakuranga,1.85
Botony Downs,Panmure,1.85
Botony Downs,Papakura/Drury/Karaka,3.15
Botony Downs,Papatoetoe North,1.85
Botony Downs,Papatoetoe South,1.85
Botony Downs,Papatoetoe West,1.85
Botony Downs,Parnell,4.85
Botony Downs,Penrose/Mt Wellington South,3.15
Botony Downs,Ponsonby/Freemans Bay,4.85
Botony Downs,Pt Chevalier,3.15
Botony Downs,Pukekohe/Tuakau,4.85
Botony Downs,Ranui,6.1
Botony Downs,Remuera,3.15
Botony Downs,Remuera South/Meadowbank South,3.15
Botony Downs,Rewiti/Kumeu/Riverhead,
Botony Downs,Rothesay/Murrays/Mairangi Bays,6.1
Botony Downs,Royal Oak/One Tree Hill,3.15
Botony Downs,Rural Franklin,
Botony Downs,St Helliers/Glendowie,3.15
Botony Downs,St Johns,3.15
Botony Downs,St Lukes/Sandringham,3.15
Botony Downs,Sunnynook/Westlake,6.1
Botony Downs,Takanini/Ardmore,3.15
Botony Downs,Takapuna,6.1
Botony Downs,Te Atatu,6.1
Botony Downs,Te Atatu Peninsula,6.1
Botony Downs,Three Kings,4.85
Botony Downs,Titirangi,6.1
Botony Downs,Torbay,7.5
Botony Downs,Waiheke Island,24.7
Botony Downs,Wairau Park/Glenfield North,6.1
Botony Downs,Waiuku,4.85
Botony Downs,Waterview/Avondale Heights,4.85
Botony Downs,Wattle Downs/Conifer Grove,3.15
Botony Downs,Wellsford/Warkworth/Helensville,
Botony Downs,West Harbour,12.35
Botony Downs,Western Beaches/Rural,
Botony Downs,Western Springs/Morningside,4.85
Botony Downs,Westmere/Surrey Crescent,4.85
Botony Downs,Weymouth,3.15
Browns Bay,Albany,1.85
Browns Bay,Avondale,6.1
Browns Bay,Balmoral,6.1
Browns Bay,Beachhaven/Birkdale,4.85
Browns Bay,Blockhouse Bay/New Windsor,6.1
Browns Bay,Botony Downs,7.5
Browns Bay,Bucklands Beach,7.5
Browns Bay,Central East,4.85
Browns Bay,Central West,4.85
Browns Bay,Chatswood/Birkenhead/Northcote Point,4.85
Browns Bay,Dannemora,7.5
Browns Bay,Devonport,3.15
Browns Bay,East Coast Bays,3.15
Browns Bay,Eden Terrace,4.85
Browns Bay,Ellerslie,6.1
Browns Bay,Epsom,6.1
Browns Bay,Glen Eden,7.5
Browns Bay,Glen Innes/Pt England/Wai O Taiki,6.1
Browns Bay,Glendene,7.5
Browns Bay,Glendhu/Glenfield,3.15
Browns Bay,Greenhithe/Unsworth Heights,1.85
Browns Bay,Grey Lynn/Arch Hill,4.85
Browns Bay,Gulf Harbour,3.15
Browns Bay,Half Moon Bay/Farm Cove,7.5
Browns Bay,Henderson,3.15
Browns Bay,Herne Bay/St Marys,4.85
Browns Bay,Highland Park,7.5
Browns Bay,Hillcrest/Northcote,3.15
Browns Bay,Hillsborough,6.1
Browns Bay,Howick,7.5
Browns Bay,Kelston,7.5
Browns Bay,Kingsland,4.85
Browns Bay,Kohimarama,6.1
Browns Bay,Lynfield,6.1
Browns Bay,Mangere,7.5
Browns Bay,Mangere Bridge/Airport,7.5
Browns Bay,Mangere East,7.5
Browns Bay,Manukau Central,7.5
Browns Bay,Manukau Heights and Manurewa Heights,8.8
Browns Bay,Manurewa North,8.8
Browns Bay,Maraetai/Clevedon,
Browns Bay,Massey/Royal Heights,7.5
Browns Bay,Meadowbank,6.1
Browns Bay,Mission Bay/Orakei,6.1
Browns Bay,Mt Albert/Owairaka,6.1
Browns Bay,Mt Eden,6.1
Browns Bay,Mt Roskill/Wesley,6.1
Browns Bay,Mt Wellington,6.1
Browns Bay,Mt Wellington North,6.1
Browns Bay,New Lynn,6.1
Browns Bay,Newmarket,4.85
Browns Bay,Newton/Grafton,4.85
Browns Bay,North Harbour/Pine Hill,1.85
Browns Bay,Onehunga/Oranga/Te Papapa,6.1
Browns Bay,Orewa/Whangaparaoa,
Browns Bay,Otahuhu,6.1
Browns Bay,Otara,7.5
Browns Bay,Pakuranga,7.5
